Geneid FLT1.bam FLT2.bam FLT3.bam GC1.bam GC2.bam GC3.bam
ENSMUSG00000061126 0 2 0 1 1 1
ENSMUSG00000091586 85 89 58 54 79 82
ENSMUSG00000048440 26 27 34 26 24 29
ENSMUSG00000117366 0 0 0 0 0 0
ENSMUSG00000117392 8 18 17 11 10 16
ENSMUSG00000117479 0 0 0 0 0 0
ENSMUSG00000062464 0 0 1 0 0 0
ENSMUSG00000117459 0 0 0 0 0 0
ENSMUSG00000090700 0 0 0 0 0 1
ENSMUSG00000073424 1277 1268 1173 1683 1619 1663
ENSMUSG00000117443 0 0 0 0 0 0
ENSMUSG00000117651 8 7 11 2 11 18
ENSMUSG00000117581 0 0 0 0 0 0
ENSMUSG00000024298 892 937 872 1146 1185 1096
ENSMUSG00000091968 2 3 2 5 3 8
ENSMUSG00000055202 0 2 4 5 4 2
ENSMUSG00000077338 0 0 0 0 0 0
ENSMUSG00002076627 0 0 0 0 0 0
ENSMUSG00000097030 0 0 0 0 0 0
ENSMUSG00000095253 56 47 72 66 83 45
ENSMUSG00000117347 0 0 0 0 0 0
ENSMUSG00000117468 1128 1043 1087 1157 1149 1099
ENSMUSG00000095325 55 55 55 59 55 60
ENSMUSG00000117601 0 0 0 0 0 0
ENSMUSG00000024292 2978 2955 2862 2592 2630 2562
ENSMUSG00000024055 492 482 509 553 578 548
ENSMUSG00002075941 1 2 0 1 0 0
ENSMUSG00000053600 26 25 19 12 22 24
ENSMUSG00000053390 69 65 40 41 52 54
ENSMUSG00000067430 27 18 32 38 23 23
ENSMUSG00000067424 44 62 50 54 52 63
ENSMUSG00000048602 3 0 0 2 1 2
ENSMUSG00000094891 0 0 0 0 0 0
ENSMUSG00000093884 0 0 0 0 0 0
ENSMUSG00000096169 0 0 0 0 2 0
ENSMUSG00000094441 45 31 43 32 47 40
ENSMUSG00000054666 0 0 0 1 0 0
ENSMUSG00000096910 113 85 101 117 122 85
ENSMUSG00000091515 0 0 0 0 0 0
ENSMUSG00000003929 62 39 40 27 27 41
ENSMUSG00000055240 86 74 63 52 58 48
ENSMUSG00000092519 0 1 0 0 0 0
ENSMUSG00000117495 0 0 0 0 0 0
ENSMUSG00000024299 100 97 101 76 71 87
ENSMUSG00000024300 77 76 77 54 39 38
ENSMUSG00000064043 11 19 14 13 19 11
ENSMUSG00002076233 0 0 0 0 0 0
ENSMUSG00000034729 168 158 199 175 198 184
ENSMUSG00000023979 2 4 11 11 8 8
ENSMUSG00000023982 0 0 0 0 0 0
ENSMUSG00000118471 0 0 0 0 0 0
ENSMUSG00000096361 268 242 258 287 292 298
ENSMUSG00000047150 87 94 82 102 82 89
ENSMUSG00000034382 291 304 318 173 200 205
ENSMUSG00000023980 89 108 136 113 114 122
ENSMUSG00000034165 301 263 239 302 284 255
ENSMUSG00000023988 99 106 121 121 122 107
ENSMUSG00000092558 136 134 134 154 137 120
ENSMUSG00000023984 1 4 3 0 2 1
ENSMUSG00000083672 0 0 0 0 0 0
ENSMUSG00000090115 46 38 33 28 25 29
ENSMUSG00000033475 3 1 2 0 0 0
ENSMUSG00000079444 3 2 1 1 1 5
ENSMUSG00000084880 6 7 4 3 6 6
ENSMUSG00000096549 4 3 1 1 2 0
ENSMUSG00000023266 25 16 24 26 14 21
ENSMUSG00000086930 2 2 2 1 2 0
ENSMUSG00000023987 0 0 0 0 0 0
ENSMUSG00000065651 2 0 0 0 0 0
ENSMUSG00000050747 0 0 1 1 1 0
ENSMUSG00000073400 7 7 4 2 0 0
ENSMUSG00000073399 0 0 0 0 0 0
ENSMUSG00000058063 0 0 0 0 0 0
ENSMUSG00000092239 0 0 0 0 0 0
ENSMUSG00000036492 36 20 37 58 61 70
ENSMUSG00000036398 218 184 217 192 212 185
ENSMUSG00000036315 58 56 53 70 51 76
ENSMUSG00002076029 0 0 0 0 0 0
ENSMUSG00000083534 1 1 3 7 1 1
ENSMUSG00000064308 0 0 0 0 0 0
ENSMUSG00000024459 1 1 3 0 1 4
ENSMUSG00000036036 6 9 12 6 10 2
ENSMUSG00000076439 0 0 2 0 0 0
ENSMUSG00002076600 0 0 0 0 1 0
ENSMUSG00000024462 49 49 40 40 48 37
ENSMUSG00000056600 0 6 0 1 0 0
ENSMUSG00000095377 0 0 0 0 0 0
ENSMUSG00000096477 0 0 0 0 0 0
ENSMUSG00000092339 0 0 0 0 0 0
ENSMUSG00000092223 11 23 15 26 14 9
ENSMUSG00000091601 0 0 0 0 0 0
ENSMUSG00000092408 0 0 0 0 0 0
ENSMUSG00000092270 0 0 0 0 0 1
ENSMUSG00000035186 6 10 5 6 5 4
ENSMUSG00000043827 0 0 0 0 0 0
ENSMUSG00000049561 1 0 0 0 0 0
ENSMUSG00000064121 0 0 0 0 0 0
ENSMUSG00000058802 0 0 0 0 0 0
ENSMUSG00000092340 0 0 0 0 0 0
ENSMUSG00000115039 698 688 754 852 818 804
ENSMUSG00000091530 2 4 0 0 6 5
ENSMUSG00000062327 0 0 0 0 0 0
ENSMUSG00000102863 1 0 0 0 0 1
ENSMUSG00000103558 4 1 4 4 2 2
ENSMUSG00000117103 1 0 0 0 0 1
ENSMUSG00000117107 0 0 0 0 0 0
ENSMUSG00002075261 0 0 0 0 0 0
ENSMUSG00000091831 792 757 804 984 849 948
ENSMUSG00000118105 0 0 0 0 0 0
ENSMUSG00000036775 2007 1824 2013 2099 2056 2078
ENSMUSG00000024177 13 7 5 5 18 10
ENSMUSG00000049124 71 57 71 56 72 59
ENSMUSG00000024180 220 219 183 212 229 228
ENSMUSG00000024181 212 225 219 262 257 203
ENSMUSG00000117374 0 1 0 1 0 0
ENSMUSG00000024184 0 0 0 0 0 0
ENSMUSG00000073433 0 0 0 0 0 0
ENSMUSG00000024186 2 3 5 0 1 0
ENSMUSG00000024187 466 450 441 509 527 490
ENSMUSG00000088273 1 0 4 2 2 2
ENSMUSG00000117513 70 51 78 81 71 59
ENSMUSG00000117622 1 0 3 0 0 1
ENSMUSG00000117609 0 0 0 0 0 0
ENSMUSG00000024188 252 272 272 364 330 308
ENSMUSG00000117596 1 2 1 1 0 0
ENSMUSG00000089764 1327 1288 1268 1373 1401 1414
ENSMUSG00000084893 348 367 328 223 281 217
ENSMUSG00000023926 0 1 0 1 0 1
ENSMUSG00000098082 0 0 0 0 0 0
ENSMUSG00000054951 5 3 1 0 0 0
ENSMUSG00000091043 0 0 0 0 0 0
ENSMUSG00002075699 0 0 0 0 0 0
ENSMUSG00000023919 32 36 46 34 32 24
ENSMUSG00000002307 166 176 171 155 134 117
ENSMUSG00000024308 1129 1029 1074 1113 1043 1031
ENSMUSG00000051390 189 198 195 165 155 166
ENSMUSG00000041354 149 169 187 172 188 203
ENSMUSG00000024309 129 117 131 169 161 133
ENSMUSG00000117603 0 2 1 2 4 1
ENSMUSG00000024312 153 173 166 196 208 211
ENSMUSG00000067370 4 1 3 3 4 2
ENSMUSG00000008668 1686 1759 1667 2019 1831 1983
ENSMUSG00000024319 239 210 235 258 237 295
ENSMUSG00000084601 0 0 1 0 0 0
ENSMUSG00000092512 0 8 5 1 3 1
ENSMUSG00000118084 0 1 1 3 0 1
ENSMUSG00000061232 11760 11817 11529 12936 12754 12706
ENSMUSG00000118082 0 0 1 0 0 0
ENSMUSG00000024325 201 195 183 162 143 135
ENSMUSG00000092338 0 0 0 0 0 0
ENSMUSG00000065555 0 0 0 0 0 0
ENSMUSG00000105964 0 0 0 0 0 0
ENSMUSG00000073422 4 6 6 5 3 2
ENSMUSG00000092595 0 0 0 0 0 0
ENSMUSG00000024327 28 32 32 26 32 24
ENSMUSG00000039656 273 274 230 330 327 318
ENSMUSG00000024330 4 10 6 14 4 13
ENSMUSG00000092383 0 0 0 0 0 0
ENSMUSG00000098197 0 0 0 0 0 0
ENSMUSG00000098241 0 0 0 0 0 0
ENSMUSG00000024334 5 5 10 10 7 8
ENSMUSG00000117772 0 0 0 0 0 0
ENSMUSG00000024335 1103 1101 977 1030 1034 998
ENSMUSG00000117829 0 0 0 0 0 0
ENSMUSG00000092246 0 2 0 0 0 0
ENSMUSG00000117003 1 0 0 0 0 0
ENSMUSG00000023460 225 219 198 254 250 241
ENSMUSG00000117235 0 0 0 0 0 0
ENSMUSG00002075599 0 0 0 0 0 0
ENSMUSG00000071984 14 9 3 2 3 6
ENSMUSG00000094396 1 1 4 6 2 3
ENSMUSG00000091206 0 0 0 0 0 0
ENSMUSG00000004730 143 122 171 90 81 81
ENSMUSG00000090655 0 2 2 0 0 0
ENSMUSG00000117223 0 0 0 0 0 0
ENSMUSG00000091504 0 0 0 0 0 0
ENSMUSG00000088499 0 0 0 0 0 0
ENSMUSG00000071275 0 0 0 0 0 0
ENSMUSG00000091670 0 0 0 0 0 0
ENSMUSG00000091656 0 0 0 0 0 0
ENSMUSG00000091350 0 0 0 1 0 1
ENSMUSG00000091491 0 7 9 3 2 1
ENSMUSG00000093607 0 0 0 0 0 0
ENSMUSG00000090224 408 393 404 447 508 430
ENSMUSG00000117274 0 0 0 0 0 0
ENSMUSG00000041565 1 0 1 0 0 2
ENSMUSG00000096965 2 1 2 1 0 0
ENSMUSG00000120134 0 0 0 0 0 0
ENSMUSG00000120263 0 0 0 1 0 1
ENSMUSG00000120274 4 4 0 1 3 3
ENSMUSG00000120330 0 0 0 0 0 0
ENSMUSG00000117980 0 0 0 0 2 0
ENSMUSG00000100150 1 0 3 0 0 0
ENSMUSG00000120381 0 0 0 0 0 0
ENSMUSG00000120398 0 0 0 0 0 0
ENSMUSG00000120402 0 2 1 0 0 0
ENSMUSG00000078838 2 0 0 1 1 0
ENSMUSG00000117654 0 1 0 0 2 0
ENSMUSG00000120531 0 0 0 0 0 0
ENSMUSG00000120541 0 0 0 0 0 0
ENSMUSG00000073374 15 8 8 4 7 4
ENSMUSG00000120361 2 5 3 5 2 3
ENSMUSG00000120597 1 0 0 2 1 1
ENSMUSG00000120612 0 0 0 0 0 0
ENSMUSG00000092415 2 0 0 0 0 3
ENSMUSG00000120221 5 5 1 3 4 1
ENSMUSG00000120305 0 0 0 0 0 0
ENSMUSG00000117371 0 0 2 0 1 1
ENSMUSG00000117575 2 0 0 0 0 0
ENSMUSG00000099384 0 1 2 1 3 0
ENSMUSG00000120702 0 0 0 0 0 0
ENSMUSG00000092591 0 0 0 0 0 0
ENSMUSG00000093622 4 4 3 4 3 1
ENSMUSG00000120854 6 3 12 10 10 1
ENSMUSG00000112121 0 0 0 0 0 0
ENSMUSG00000117011 0 0 1 1 0 0
ENSMUSG00000097305 4 5 7 2 2 2
ENSMUSG00000097006 34 28 29 26 32 26
ENSMUSG00000073437 12 15 4 17 25 12
ENSMUSG00000120922 0 0 0 0 0 1
ENSMUSG00000085287 47 44 39 56 32 68
ENSMUSG00000086010 96 71 85 70 89 73
ENSMUSG00000120925 0 0 0 0 0 0
ENSMUSG00000120301 3 0 0 2 3 4
ENSMUSG00000120934 0 0 0 0 0 0
ENSMUSG00000120937 1 0 0 1 1 0
ENSMUSG00000117486 11 8 9 3 8 5
ENSMUSG00000092539 0 0 0 0 0 0
ENSMUSG00000117358 6 1 2 4 3 5
ENSMUSG00000117545 2 7 2 3 2 1
ENSMUSG00000073430 11 7 5 0 2 5
ENSMUSG00000097217 8 9 11 5 6 13
ENSMUSG00000120995 22 25 17 15 21 18
ENSMUSG00000120277 1 3 1 0 0 1
ENSMUSG00000120998 0 0 0 0 1 0
ENSMUSG00000121087 5 0 0 0 0 3
ENSMUSG00000121105 0 0 0 0 0 0
ENSMUSG00000121122 0 0 0 0 0 1
ENSMUSG00000121093 63 68 75 53 50 77
ENSMUSG00000119983 0 0 1 0 0 2
ENSMUSG00000121147 0 0 0 0 0 0
ENSMUSG00000120176 3 1 1 5 4 1
ENSMUSG00000085492 24 30 35 23 36 24
ENSMUSG00000121174 0 0 0 0 0 0
ENSMUSG00000121180 0 0 0 0 0 0
ENSMUSG00000097350 4 7 7 5 4 6
ENSMUSG00000097154 1 7 3 0 2 4
ENSMUSG00000121197 0 0 0 0 0 0
ENSMUSG00000121204 5 5 2 4 4 6
ENSMUSG00000078247 14 34 23 9 12 11
ENSMUSG00000121208 0 0 0 0 0 0
ENSMUSG00000060149 24 33 32 38 34 23
ENSMUSG00000117393 1 2 0 0 1 1
ENSMUSG00000093565 1 2 10 7 5 2
ENSMUSG00000116802 17 18 26 24 30 30
ENSMUSG00000117485 110 94 95 66 61 55
ENSMUSG00000121022 1 2 2 1 1 0
ENSMUSG00000121228 0 0 0 0 0 0
ENSMUSG00000121229 0 0 0 0 0 0
ENSMUSG00000117501 51 59 58 48 61 47
ENSMUSG00000121103 6 5 6 3 5 4
ENSMUSG00000121234 0 0 2 0 0 1
ENSMUSG00000121111 6 6 8 4 2 4
ENSMUSG00000116718 122 135 101 132 128 113
ENSMUSG00000066057 34 36 22 31 42 24
ENSMUSG00000116852 2 1 2 10 0 1
ENSMUSG00000116644 1 0 0 0 1 1
ENSMUSG00000117314 0 0 0 0 0 0
ENSMUSG00000121243 1 0 0 0 0 0
ENSMUSG00000121244 0 0 1 0 0 0
ENSMUSG00000117444 0 1 0 0 0 0
ENSMUSG00000089633 0 0 0 0 0 1
ENSMUSG00000117916 0 0 0 0 0 0
ENSMUSG00000120436 0 0 0 0 0 0
ENSMUSG00000117322 7 3 2 2 3 4
ENSMUSG00000067882 5 4 6 8 4 5
ENSMUSG00000071256 73 70 82 94 89 69
ENSMUSG00000115842 0 1 1 0 0 0
ENSMUSG00000062012 32 23 29 13 15 17
ENSMUSG00000023902 0 0 0 0 0 0
ENSMUSG00000117059 18 22 27 21 21 30
ENSMUSG00000023903 3 1 1 0 3 4
ENSMUSG00000117108 0 0 0 0 0 0
ENSMUSG00000117258 4 0 0 0 2 5
ENSMUSG00000043782 0 4 2 1 0 0
ENSMUSG00000041319 40 30 36 40 42 29
ENSMUSG00000023904 301 265 308 342 359 352
ENSMUSG00000023905 38 16 20 31 36 23
ENSMUSG00000023906 0 0 0 0 0 0
ENSMUSG00000066720 0 0 0 0 0 0
ENSMUSG00000067341 3 0 6 2 2 3
ENSMUSG00000062638 0 0 0 0 0 0
ENSMUSG00000083522 10 7 13 12 11 20
ENSMUSG00000073411 4685 4399 4314 4903 4922 4708
ENSMUSG00000092438 2 2 2 0 2 0
ENSMUSG00000079507 123 115 116 144 148 126
ENSMUSG00000091655 68 46 52 51 61 61
ENSMUSG00000091705 9 7 4 14 12 12
ENSMUSG00000092253 0 0 1 0 0 0
ENSMUSG00000079505 11 14 22 13 23 18
ENSMUSG00000035929 322 263 322 298 295 322
ENSMUSG00000055413 49 54 44 40 52 28
ENSMUSG00000092560 0 0 0 0 0 0
ENSMUSG00000073409 6 5 0 3 0 4
ENSMUSG00000092278 0 1 0 0 0 0
ENSMUSG00000079492 0 0 0 0 0 0
ENSMUSG00000091373 0 0 0 0 0 0
ENSMUSG00000073406 12 12 6 14 25 7
ENSMUSG00000092304 0 0 0 0 0 0
ENSMUSG00000092224 0 0 0 0 0 0
ENSMUSG00000073405 18 9 22 8 12 5
ENSMUSG00000092243 1 0 0 2 6 1
ENSMUSG00000092365 0 0 0 0 0 0
ENSMUSG00000079491 48 36 43 31 22 29
ENSMUSG00000092277 0 1 2 2 3 1
ENSMUSG00000073980 3 4 3 4 5 1
ENSMUSG00000092366 7 6 2 1 1 5
ENSMUSG00000092289 6 9 5 13 3 6
ENSMUSG00000073402 10 8 13 9 6 9
ENSMUSG00000092474 0 1 0 0 0 0
ENSMUSG00000092374 4 2 1 10 4 4
ENSMUSG00000092480 0 0 0 0 0 0
ENSMUSG00000054128 1 2 0 0 2 1
ENSMUSG00000092240 55 54 41 84 80 68
ENSMUSG00000092306 0 0 0 0 0 0
ENSMUSG00000092457 0 0 0 0 0 0
ENSMUSG00000092265 0 1 0 0 0 0
ENSMUSG00000092362 0 0 0 0 0 0
ENSMUSG00000101932 15 33 19 43 32 35
ENSMUSG00000092428 162 148 166 186 188 175
ENSMUSG00000101756 0 0 0 0 0 0
ENSMUSG00000092612 0 0 0 0 0 0
ENSMUSG00000092363 0 0 0 0 0 0
ENSMUSG00002075285 0 0 0 0 0 0
ENSMUSG00000092502 0 0 0 0 0 0
ENSMUSG00000092392 2 1 2 2 6 2
ENSMUSG00000092317 0 3 2 3 6 4
ENSMUSG00000041130 616 605 627 571 592 553
ENSMUSG00000007021 0 0 1 2 1 0
ENSMUSG00000019320 0 1 2 5 1 2
ENSMUSG00000040688 119 101 114 126 108 123
ENSMUSG00000008482 3 0 0 0 6 0
ENSMUSG00000044533 1878 1762 1783 2118 2244 2150
ENSMUSG00000090101 0 3 1 0 2 0
ENSMUSG00000089255 0 1 1 0 1 0
ENSMUSG00000077709 0 0 0 0 0 0
ENSMUSG00000040048 840 769 803 993 968 998
ENSMUSG00000002500 3 0 1 0 0 0
ENSMUSG00000075705 2648 2665 2518 2845 2800 2734
ENSMUSG00000039628 5 6 4 4 3 5
ENSMUSG00000023795 113 94 129 143 111 106
ENSMUSG00000121378 13 9 8 5 13 6
ENSMUSG00000096780 0 0 0 0 0 0
ENSMUSG00000121395 4 9 2 1 0 2
ENSMUSG00000079356 0 0 0 0 0 0
ENSMUSG00000121397 0 0 0 0 0 0
ENSMUSG00000067949 0 0 0 0 0 0
ENSMUSG00000121426 2 0 0 0 0 0
ENSMUSG00000002791 1 6 1 5 4 2
ENSMUSG00000121449 2 4 2 1 1 7
ENSMUSG00000117373 0 0 0 0 0 0
ENSMUSG00000121450 0 0 0 0 0 0
ENSMUSG00000117068 0 0 0 0 0 0
ENSMUSG00000121469 0 0 0 0 0 0
ENSMUSG00000098090 0 0 0 0 0 0
ENSMUSG00000121491 0 0 1 0 2 1
ENSMUSG00000024295 0 0 0 0 0 0
ENSMUSG00000121493 4 0 5 5 5 5
ENSMUSG00000067203 10 5 7 6 11 8
ENSMUSG00000082103 0 0 0 0 0 0
ENSMUSG00000092444 0 0 0 1 0 0
ENSMUSG00000073403 0 0 0 0 0 0
ENSMUSG00000090556 2 0 0 0 0 0
ENSMUSG00000065743 0 0 0 0 0 0
ENSMUSG00000058626 0 0 1 2 0 0
ENSMUSG00000036026 722 680 702 851 816 798
ENSMUSG00000086472 3 12 5 5 2 5
ENSMUSG00000023939 339 332 331 397 356 378
ENSMUSG00000094690 0 0 0 0 0 0
ENSMUSG00000097727 1 6 0 1 4 6
ENSMUSG00000117139 0 0 0 0 0 0
ENSMUSG00000096717 0 0 0 0 0 0
ENSMUSG00000093533 0 0 0 0 0 0
ENSMUSG00000036322 0 0 0 0 0 0
ENSMUSG00000121508 0 4 1 0 0 1
ENSMUSG00000040899 0 3 1 0 0 0
ENSMUSG00000120679 4 3 4 1 3 1
ENSMUSG00000087478 18 27 12 13 30 10
ENSMUSG00000073468 246 230 245 250 198 216
ENSMUSG00000117569 0 0 0 0 0 0
ENSMUSG00000055945 3 5 2 2 4 6
ENSMUSG00000116860 0 3 8 6 14 4
ENSMUSG00000116704 687 662 617 763 676 715
ENSMUSG00000084390 80 74 93 76 94 96
ENSMUSG00000099104 299 276 314 303 265 277
ENSMUSG00000067235 15593 15491 14535 16083 16066 15626
ENSMUSG00000024406 0 0 0 0 0 0
ENSMUSG00000093516 0 0 0 0 0 0
ENSMUSG00000050410 42 49 35 26 28 24
ENSMUSG00000118589 0 0 0 0 0 0
ENSMUSG00000040312 63 56 36 44 39 36
ENSMUSG00000024409 0 0 0 0 0 0
ENSMUSG00000039518 0 0 0 0 0 0
ENSMUSG00000092409 60 27 49 30 31 36
ENSMUSG00000039269 0 0 0 0 0 0
ENSMUSG00000090509 0 0 0 0 1 0
ENSMUSG00000090588 0 0 0 0 0 0
ENSMUSG00000073408 0 0 0 0 0 0
ENSMUSG00000092389 0 0 0 0 0 0
ENSMUSG00000038838 207 237 174 176 179 208
ENSMUSG00000001524 81 97 94 98 100 111
ENSMUSG00000003534 34 29 31 29 33 30
ENSMUSG00001118668 0 0 0 0 0 0
ENSMUSG00000086867 0 0 0 0 0 0
ENSMUSG00000120061 0 0 0 0 0 0
ENSMUSG00000092219 0 0 0 0 0 0
ENSMUSG00000092600 0 0 0 0 0 0
ENSMUSG00000093564 0 0 0 0 0 0
ENSMUSG00000095658 0 0 0 1 0 0
ENSMUSG00000093703 0 0 0 0 0 0
ENSMUSG00000093685 0 0 0 0 0 0
ENSMUSG00000096429 0 0 0 0 0 0
ENSMUSG00000093714 0 0 0 0 0 0
ENSMUSG00000117162 4 2 12 6 9 9
ENSMUSG00000117095 0 0 0 0 0 0
ENSMUSG00000117073 0 0 0 0 0 0
ENSMUSG00000117215 3 5 3 7 7 2
ENSMUSG00000117302 22 16 24 28 36 23
ENSMUSG00000117017 0 0 0 0 0 0
ENSMUSG00000117020 0 0 0 0 0 0
ENSMUSG00000117057 0 0 0 0 0 0
ENSMUSG00000090747 0 0 0 0 0 0
ENSMUSG00000117265 0 0 0 0 1 1
ENSMUSG00000117230 12 14 13 15 13 15
ENSMUSG00000117142 0 0 0 0 0 0
ENSMUSG00000092043 0 0 0 0 0 0
ENSMUSG00000090897 0 0 0 0 0 0
ENSMUSG00000117190 0 0 0 0 0 0
ENSMUSG00000095540 0 0 0 0 0 0
ENSMUSG00000093957 0 0 0 0 0 0
ENSMUSG00000117279 0 0 0 0 0 0
ENSMUSG00000073396 0 0 0 0 0 0
ENSMUSG00000050668 86 88 88 92 89 80
ENSMUSG00000091549 1772 1762 1790 2038 2104 1977
ENSMUSG00000024079 252 247 246 244 251 256
ENSMUSG00000065387 1 1 0 0 0 0
ENSMUSG00000038045 1 0 1 0 0 2
ENSMUSG00000062691 54 57 64 76 87 54
ENSMUSG00000024081 328 307 287 347 340 377
ENSMUSG00000024082 106 99 89 138 134 127
ENSMUSG00000024070 2064 2146 2139 1826 1823 1746
ENSMUSG00000098114 0 0 0 0 0 0
ENSMUSG00000024084 125 149 147 80 103 100
ENSMUSG00000117054 4 6 3 5 7 7
ENSMUSG00000071230 0 0 0 0 0 0
ENSMUSG00000117379 0 3 0 0 0 0
ENSMUSG00000024155 62 57 73 41 50 39
ENSMUSG00000024158 2112 2127 2069 2262 2273 2071
ENSMUSG00000045316 416 399 435 393 328 317
ENSMUSG00000046070 1845 1681 1706 1339 1320 1272
ENSMUSG00000039183 146 134 121 152 160 152
ENSMUSG00000024160 12 18 12 9 15 10
ENSMUSG00000073436 46 51 27 35 37 22
ENSMUSG00000038880 59 60 81 66 83 66
ENSMUSG00000073435 0 0 0 0 0 0
ENSMUSG00000024165 213 263 227 213 219 199
ENSMUSG00000038002 217 219 239 205 218 225
ENSMUSG00000086594 0 0 4 1 3 0
ENSMUSG00000024228 611 557 557 651 652 685
ENSMUSG00000077629 0 0 0 0 0 0
ENSMUSG00000024227 0 0 0 0 0 0
ENSMUSG00000046196 2 1 0 0 0 0
ENSMUSG00000055760 23 22 17 13 28 20
ENSMUSG00000035051 146 149 133 110 135 134
ENSMUSG00000117440 2 5 2 3 4 3
ENSMUSG00000045257 26 22 34 31 43 39
ENSMUSG00000054901 1 1 0 0 0 0
ENSMUSG00000024241 474 491 406 490 487 524
ENSMUSG00000066938 1 0 0 1 0 2
ENSMUSG00000097125 5 2 3 1 0 6
ENSMUSG00000120260 3 3 8 4 1 0
ENSMUSG00000024014 84 80 72 144 152 167
ENSMUSG00000091614 1 0 0 0 0 0
ENSMUSG00000079580 0 0 0 0 0 0
ENSMUSG00000042203 55 52 70 52 49 39
ENSMUSG00000089900 1 0 0 0 1 3
ENSMUSG00000098764 0 0 0 0 0 0
ENSMUSG00000117376 0 0 0 0 0 0
ENSMUSG00000092203 75 60 75 86 63 74
ENSMUSG00000093009 0 0 0 0 0 0
ENSMUSG00000092687 0 0 0 0 0 0
ENSMUSG00000092557 14 14 17 26 31 24
ENSMUSG00000090877 27 28 30 95 103 80
ENSMUSG00000091971 1 0 0 2 3 6
ENSMUSG00000007033 6 0 3 2 8 1
ENSMUSG00000073415 2 0 1 0 2 1
ENSMUSG00000007050 80 121 105 88 96 107
ENSMUSG00000120992 137 146 133 58 49 68
ENSMUSG00000007029 366 315 304 363 396 315
ENSMUSG00000007030 2 5 4 1 2 2
ENSMUSG00000036185 2 1 1 1 1 1
ENSMUSG00000007035 24 21 18 23 26 8
ENSMUSG00000120973 1 2 3 1 0 3
ENSMUSG00000118881 0 0 0 0 0 0
ENSMUSG00000007041 160 160 167 185 148 153
ENSMUSG00000007039 28 21 20 34 24 22
ENSMUSG00000073414 4 1 2 0 1 2
ENSMUSG00000092586 0 0 0 0 0 0
ENSMUSG00000073413 1 1 2 0 0 2
ENSMUSG00000013766 0 0 0 0 0 0
ENSMUSG00000034923 0 0 0 0 0 0
ENSMUSG00000007036 367 407 337 366 443 428
ENSMUSG00000034482 0 0 0 0 0 0
ENSMUSG00000043807 0 7 3 2 1 0
ENSMUSG00000024387 638 629 555 668 649 640
ENSMUSG00000092417 63 43 45 56 53 52
ENSMUSG00000092241 6 3 3 3 4 8
ENSMUSG00000043311 68 104 67 61 98 71
ENSMUSG00000024391 1526 1518 1493 1329 1292 1187
ENSMUSG00000024392 1037 978 910 1039 1002 950
ENSMUSG00000024393 1556 1576 1482 1644 1546 1499
ENSMUSG00000064853 0 0 0 0 0 0
ENSMUSG00000090936 5 4 7 4 2 6
ENSMUSG00000024397 38 62 56 44 28 36
ENSMUSG00000086076 1 0 0 0 0 0
ENSMUSG00000073412 19 13 19 8 14 12
ENSMUSG00000024399 10 19 14 21 10 9
ENSMUSG00000098291 0 0 0 0 0 0
ENSMUSG00000024401 5 1 5 4 2 6
ENSMUSG00000024402 0 0 1 0 0 1
ENSMUSG00000099006 0 0 0 0 0 0
ENSMUSG00000120349 0 0 0 0 0 0
ENSMUSG00000042419 41 49 61 39 44 45
ENSMUSG00000081650 0 0 0 0 1 1
ENSMUSG00000024403 28 19 24 32 40 26
ENSMUSG00000019432 542 574 571 578 547 557
ENSMUSG00000075770 0 0 0 0 0 0
ENSMUSG00000098499 0 0 0 1 0 0
ENSMUSG00000065273 1 0 0 0 0 0
ENSMUSG00000098269 0 1 0 1 3 0
ENSMUSG00000121509 1 0 0 0 0 0
ENSMUSG00000049823 50 53 35 39 55 42
ENSMUSG00000121067 13 6 9 6 1 3
ENSMUSG00000013787 711 768 725 641 542 553
ENSMUSG00000007034 5 1 1 0 2 5
ENSMUSG00000007038 471 468 465 412 400 398
ENSMUSG00000092609 0 0 0 0 0 0
ENSMUSG00000117209 12 10 16 21 11 10
ENSMUSG00000117070 7 6 6 8 10 2
ENSMUSG00000035868 82 60 72 58 58 45
ENSMUSG00000067928 57 62 49 53 67 61
ENSMUSG00000061544 75 75 73 85 75 64
ENSMUSG00000117056 2 0 0 0 2 2
ENSMUSG00000069743 50 46 43 45 36 34
ENSMUSG00000078546 21 27 30 24 16 11
ENSMUSG00000117049 573 667 558 637 670 719
ENSMUSG00000073448 29 36 34 20 28 14
ENSMUSG00000121586 0 0 0 0 0 0
ENSMUSG00000120162 74 72 81 61 55 50
ENSMUSG00000045038 248 232 198 214 274 197
ENSMUSG00000117546 4 1 0 0 1 0
ENSMUSG00000100738 0 2 0 1 0 0
ENSMUSG00000121124 9 12 8 10 8 6
ENSMUSG00000117568 0 0 0 0 0 0
ENSMUSG00002076026 2 4 3 11 8 5
ENSMUSG00000120725 44 39 30 47 62 38
ENSMUSG00000120278 2 0 4 0 1 2
ENSMUSG00000024140 2421 2328 2314 2982 2990 2890
ENSMUSG00000117538 4 2 8 4 1 0
ENSMUSG00000071036 2 2 2 3 0 0
ENSMUSG00000092542 0 0 0 0 0 0
ENSMUSG00000094884 0 0 0 0 0 0
ENSMUSG00000092396 0 0 0 0 0 0
ENSMUSG00000063188 0 1 0 0 2 0
ENSMUSG00000092568 0 0 0 0 0 0
ENSMUSG00000092477 0 0 0 0 0 0
