Geneid FLT1.bam FLT2.bam FLT3.bam GC1.bam GC2.bam GC3.bam
ENSMUSG00000064541 0 0 0 0 0 0
ENSMUSG00000117221 0 0 0 0 0 0
ENSMUSG00000117198 0 0 0 0 0 0
ENSMUSG00000092268 16 8 14 4 2 6
ENSMUSG00000039218 3615 3575 3477 3645 3375 3408
ENSMUSG00000117219 13 6 6 17 12 9
ENSMUSG00000092981 25 17 32 23 23 35
ENSMUSG00000055839 238 223 215 231 292 269
ENSMUSG00000064120 1043 1094 1018 1077 1077 1072
ENSMUSG00000049620 0 0 0 0 0 0
ENSMUSG00000024114 0 0 1 1 0 0
ENSMUSG00000048992 0 0 0 0 0 0
ENSMUSG00000089697 0 0 1 0 0 0
ENSMUSG00000024116 0 0 0 0 0 0
ENSMUSG00000040260 48 26 42 44 30 27
ENSMUSG00000096445 0 0 0 0 0 0
ENSMUSG00000023999 0 0 0 0 0 0
ENSMUSG00000090012 0 0 0 1 0 0
ENSMUSG00000090227 0 0 0 0 0 0
ENSMUSG00000096278 0 0 0 0 0 0
ENSMUSG00000117527 46 41 40 26 33 34
ENSMUSG00000117400 0 0 0 0 0 0
ENSMUSG00000118549 0 0 0 0 0 0
ENSMUSG00000117488 0 0 0 0 0 0
ENSMUSG00000118535 0 0 0 0 0 0
ENSMUSG00000117403 0 0 1 0 1 0
ENSMUSG00000057417 0 0 0 0 0 0
ENSMUSG00000039316 34 31 21 12 23 13
ENSMUSG00000117117 0 0 1 0 0 0
ENSMUSG00000104256 0 0 0 0 0 0
ENSMUSG00000117138 0 6 1 1 0 0
ENSMUSG00000117077 13 11 7 17 27 19
ENSMUSG00000117009 0 0 0 0 0 0
ENSMUSG00000067103 0 0 0 0 0 0
ENSMUSG00000024128 0 0 0 0 0 0
ENSMUSG00000010592 0 1 2 1 0 0
ENSMUSG00000117222 0 0 0 0 0 0
ENSMUSG00000038910 229 232 201 168 172 179
ENSMUSG00000044645 19 19 16 20 27 18
ENSMUSG00000024125 0 0 0 0 0 0
ENSMUSG00000024124 2 4 4 0 2 0
ENSMUSG00000045027 0 0 0 0 0 0
ENSMUSG00000117580 0 0 0 0 0 0
ENSMUSG00002075970 0 0 0 0 0 0
ENSMUSG00000077184 0 0 0 0 0 0
ENSMUSG00000095266 3 1 1 2 0 3
ENSMUSG00000050762 0 0 0 0 0 0
ENSMUSG00000024109 50 51 73 71 67 58
ENSMUSG00002075452 0 0 0 0 0 0
ENSMUSG00000073367 0 0 0 0 0 0
ENSMUSG00000016946 46 37 57 30 43 36
ENSMUSG00000093716 323 315 324 306 324 330
ENSMUSG00000092549 0 0 0 0 0 0
ENSMUSG00000090160 0 0 1 0 0 0
ENSMUSG00002075733 0 0 0 0 0 0
ENSMUSG00000071033 0 0 0 0 0 0
ENSMUSG00002076576 0 0 0 0 0 0
ENSMUSG00000117572 47 44 66 72 80 83
ENSMUSG00000117649 0 0 0 0 0 0
ENSMUSG00000043346 67 90 69 57 68 71
ENSMUSG00000117471 0 0 0 0 0 0
ENSMUSG00000117396 0 0 0 0 0 0
ENSMUSG00000117629 4 0 1 2 0 0
ENSMUSG00000087425 0 0 0 0 0 0
ENSMUSG00000117417 1 0 0 0 0 0
ENSMUSG00000081412 18 24 11 18 8 12
ENSMUSG00000117555 0 0 0 0 0 0
ENSMUSG00000117408 0 0 0 0 0 0
ENSMUSG00000023923 202 206 197 222 224 213
ENSMUSG00000117433 0 0 0 0 0 0
ENSMUSG00000087942 0 0 0 0 0 0
ENSMUSG00002076816 0 0 5 2 1 1
ENSMUSG00000084583 0 0 0 0 0 0
ENSMUSG00000117584 0 0 0 0 0 0
ENSMUSG00000117168 0 0 0 0 0 0
ENSMUSG00000117343 0 0 0 0 0 0
ENSMUSG00000117624 4 5 3 4 2 5
ENSMUSG00000117204 0 0 0 0 0 0
ENSMUSG00000117041 0 0 1 2 0 1
ENSMUSG00000098122 0 0 0 0 0 0
ENSMUSG00000117181 0 0 0 0 0 0
ENSMUSG00000117354 0 0 0 0 0 0
ENSMUSG00000117625 0 0 0 0 0 0
ENSMUSG00000117409 1 1 1 2 0 0
ENSMUSG00000117591 0 0 0 0 0 0
ENSMUSG00000117559 0 0 0 0 0 0
ENSMUSG00000024256 0 0 0 0 0 0
ENSMUSG00000119213 1 0 0 0 0 0
ENSMUSG00000117362 0 0 0 0 0 0
ENSMUSG00000117452 2 4 0 0 2 3
ENSMUSG00000117368 0 0 0 0 0 0
ENSMUSG00000117514 0 0 0 0 0 0
ENSMUSG00000117537 0 0 0 0 0 0
ENSMUSG00000117543 0 0 0 0 0 0
ENSMUSG00000077433 0 0 0 0 0 0
ENSMUSG00000117476 8 13 12 13 17 13
ENSMUSG00000117382 0 0 0 0 0 0
ENSMUSG00000117586 30 11 25 28 21 30
ENSMUSG00000055660 180 182 165 236 234 247
ENSMUSG00000098121 0 0 0 0 0 0
ENSMUSG00002076104 0 0 0 0 0 0
ENSMUSG00000117642 0 0 0 0 0 0
ENSMUSG00000117653 1 1 5 0 1 4
ENSMUSG00000117499 11 19 23 23 12 20
ENSMUSG00000117582 2 2 2 0 1 1
ENSMUSG00000065658 0 0 0 0 0 0
ENSMUSG00000023927 5 11 13 14 15 17
ENSMUSG00000102973 0 0 0 1 0 0
ENSMUSG00000102212 0 0 0 0 0 1
ENSMUSG00000103779 0 0 0 0 0 0
ENSMUSG00000102744 0 0 0 0 0 0
ENSMUSG00000103216 0 2 0 0 0 0
ENSMUSG00000103753 0 0 0 0 0 0
ENSMUSG00000103358 0 2 0 1 0 0
ENSMUSG00000102600 0 0 0 0 0 1
ENSMUSG00000103378 0 1 0 0 3 2
ENSMUSG00000117175 0 0 0 0 0 0
ENSMUSG00000117170 0 0 0 0 0 0
ENSMUSG00000117076 0 0 1 0 0 0
ENSMUSG00000117033 0 0 0 0 0 0
ENSMUSG00000117035 0 0 0 0 0 0
ENSMUSG00000098552 0 0 0 0 1 0
ENSMUSG00000035580 0 0 0 0 0 0
ENSMUSG00000117244 2 0 0 0 1 2
ENSMUSG00000117194 0 0 0 0 0 0
ENSMUSG00000117089 50 51 63 81 74 77
ENSMUSG00000117248 80 89 65 97 101 88
ENSMUSG00000117241 64 61 89 114 86 80
ENSMUSG00000024122 315 342 365 468 388 362
ENSMUSG00000023931 4 1 2 0 0 2
ENSMUSG00000117111 1109 1074 1125 1270 1306 1313
ENSMUSG00000117523 0 2 1 1 0 1
ENSMUSG00000117557 1 0 2 3 1 0
ENSMUSG00000017831 349 299 315 326 318 332
ENSMUSG00000117128 0 0 4 1 0 1
ENSMUSG00000044957 1 1 0 0 0 0
ENSMUSG00000036820 202 181 151 195 165 151
ENSMUSG00000000708 977 990 994 924 947 955
ENSMUSG00000096517 0 0 1 1 1 1
ENSMUSG00000024121 1310 1202 1281 1327 1330 1408
ENSMUSG00000023940 6 6 3 4 4 6
ENSMUSG00000107430 0 0 0 0 1 0
ENSMUSG00000107684 0 3 0 0 0 0
ENSMUSG00000117211 0 0 0 0 0 0
ENSMUSG00000106327 3 7 6 4 6 9
ENSMUSG00000105075 0 0 0 0 0 0
ENSMUSG00000104949 0 0 0 0 0 0
ENSMUSG00000105885 0 0 0 0 0 0
ENSMUSG00000023122 202 192 179 110 105 93
ENSMUSG00000021631 61 56 62 69 69 81
ENSMUSG00000105732 0 0 0 0 0 0
ENSMUSG00000105235 0 0 0 0 0 0
ENSMUSG00000105921 0 0 0 0 0 0
ENSMUSG00000105147 9 11 4 1 1 3
ENSMUSG00000105473 0 0 0 0 0 0
ENSMUSG00000023943 0 0 0 0 0 0
ENSMUSG00000104810 127 140 123 88 106 81
